query_id	subject_id	pct_identity	aln_length	n_of_mismatches	number_gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score	query_length	query_coverage	subject_length
lcl|NC_014218.1_cds_WP_013169272.1_6	lcl|NZ_CP099547.1_cds_WP_252673293.1_6	79.871	2489	492	7	1	2486	1	2483	0.0	1812	2565	97	2580
lcl|NC_014218.1_cds_WP_013169286.1_19	lcl|NZ_CP099547.1_cds_WP_252673301.1_15	81.132	795	138	11	1	789	1	789	2.11e-180	627	789	100	789
lcl|NC_014218.1_cds_WP_013169317.1_52	lcl|NZ_CP099547.1_cds_WP_252673311.1_25	77.270	1795	395	9	18	1807	18	1804	0.0	1042	1809	99	1806
lcl|NC_014218.1_cds_WP_013169319.1_54	lcl|NZ_CP099547.1_cds_WP_252673313.1_27	79.238	814	165	4	47	858	53	864	1.83e-161	564	858	95	864
lcl|NC_014218.1_cds_WP_013169320.1_55	lcl|NZ_CP099547.1_cds_WP_252673314.1_28	75.292	1882	434	23	52	1913	49	1919	0.0	870	1992	93	1998
lcl|NC_014218.1_cds_WP_013169330.1_67	lcl|NZ_CP099547.1_cds_WP_252673321.1_35	82.779	993	169	2	1	992	1	992	0.0	885	993	99	993
lcl|NC_014218.1_cds_WP_013169380.1_122	lcl|NZ_CP099547.1_cds_WP_252673368.1_83	81.302	968	179	2	7	973	7	973	0.0	784	975	99	975
lcl|NC_014218.1_cds_WP_013169416.1_157	lcl|NZ_CP099547.1_cds_WP_252673411.1_127	75.223	1009	219	19	1	989	1	998	6.70e-127	449	1071	92	1077
lcl|NC_014218.1_cds_WP_013169429.1_170	lcl|NZ_CP099547.1_cds_WP_252673419.1_135	83.181	1861	299	10	1	1857	1	1851	0.0	1690	1857	100	1851
lcl|NC_014218.1_cds_WP_013169443.1_184	lcl|NZ_CP099547.1_cds_WP_252673432.1_149	79.558	1086	210	12	1	1080	1	1080	0.0	765	1080	100	1080
lcl|NC_014218.1_cds_WP_013169449.1_192	lcl|NZ_CP099547.1_cds_WP_252674048.1_156	77.265	585	127	5	57	638	6	587	9.53e-94	339	681	85	600
lcl|NC_014218.1_cds_WP_013169451.1_194	lcl|NZ_CP099547.1_cds_WP_252673441.1_159	87.415	1025	125	4	1	1023	1	1023	0.0	1175	1023	100	1023
lcl|NC_014218.1_cds_WP_013169453.1_196	lcl|NZ_CP099547.1_cds_WP_252673444.1_162	82.358	1179	208	0	134	1312	140	1318	0.0	1026	1320	89	1326
lcl|NC_014218.1_cds_WP_111724982.1_197	lcl|NZ_CP099547.1_cds_WP_252673445.1_163	78.132	846	181	4	19	862	106	949	1.45e-152	534	864	98	951
lcl|NC_014218.1_cds_WP_013169459.1_202	lcl|NZ_CP099547.1_cds_WP_252673450.1_168	85.089	1804	268	1	1	1804	1	1803	0.0	1840	1851	97	1857
lcl|NC_014218.1_cds_WP_013169464.1_207	lcl|NZ_CP099547.1_cds_WP_252673454.1_172	85.202	223	24	8	1	220	1	217	1.19e-58	220	237	93	234
lcl|NC_014218.1_cds_WP_113722442.1_222	lcl|NZ_CP099547.1_cds_WP_252674050.1_184	81.324	589	102	8	10	594	1	585	7.82e-134	472	594	98	585
