query_id	subject_id	pct_identity	aln_length	n_of_mismatches	number_gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score	query_length	query_coverage	subject_length
lcl|NC_014218.1_cds_WP_013169268.1_2	lcl|NZ_CP070228.1_cds_WP_204424496.1_2	79.088	1119	230	4	1	1117	1	1117	0.0	767	1119	99	1119
lcl|NC_014218.1_cds_WP_013169272.1_6	lcl|NZ_CP070228.1_cds_WP_204424501.1_6	81.581	2492	450	8	1	2486	1	2489	0.0	2050	2565	97	2598
lcl|NC_014218.1_cds_WP_013169287.1_20	lcl|NZ_CP070228.1_cds_WP_239519596.1_17	81.116	1488	270	9	44	1527	17	1497	0.0	1181	1527	97	1497
lcl|NC_014218.1_cds_WP_041640250.1_34	lcl|NZ_CP070228.1_cds_WP_204424529.1_25	75.742	2865	627	58	1	2825	1	2837	0.0	1378	3024	93	3030
lcl|NC_014218.1_cds_WP_013169300.1_35	lcl|NZ_CP070228.1_cds_WP_204424531.1_26	80.428	935	173	10	1	930	1	930	0.0	704	1029	90	1032
lcl|NC_014218.1_cds_WP_013169306.1_41	lcl|NZ_CP070228.1_cds_WP_204424544.1_35	78.755	819	168	6	1	816	1	816	2.46e-155	544	864	94	861
lcl|NC_014218.1_cds_WP_013169315.1_50	lcl|NZ_CP070228.1_cds_WP_204424557.1_44	76.263	1504	323	30	1	1487	10	1496	0.0	769	1518	98	1527
lcl|NC_014218.1_cds_WP_013169317.1_52	lcl|NZ_CP070228.1_cds_WP_204424561.1_46	77.809	1798	382	13	17	1807	17	1804	0.0	1094	1809	99	1806
lcl|NC_014218.1_cds_WP_013169319.1_54	lcl|NZ_CP070228.1_cds_WP_204424564.1_48	81.281	812	148	4	49	858	55	864	0.0	654	858	94	864
lcl|NC_014218.1_cds_WP_013169330.1_67	lcl|NZ_CP070228.1_cds_WP_204424578.1_56	85.829	995	135	6	1	992	1	992	0.0	1051	993	99	993
lcl|NC_014218.1_cds_WP_013169379.1_120	lcl|NZ_CP070228.1_cds_WP_204424628.1_98	77.372	2161	465	22	1	2149	1	2149	0.0	1260	2151	99	2151
lcl|NC_014218.1_cds_WP_013169380.1_122	lcl|NZ_CP070228.1_cds_WP_204424630.1_100	82.213	967	172	0	7	973	7	973	0.0	833	975	99	975
lcl|NC_014218.1_cds_WP_013169394.1_135	lcl|NZ_CP070228.1_cds_WP_204424664.1_121	74.618	1308	293	30	28	1308	1	1296	8.15e-154	540	2187	59	2157
lcl|NC_014218.1_cds_WP_013169422.1_163	lcl|NZ_CP070228.1_cds_WP_204424718.1_149	81.030	1281	235	7	1	1277	1	1277	0.0	1013	1290	99	1293
lcl|NC_014218.1_cds_WP_013169423.1_164	lcl|NZ_CP070228.1_cds_WP_204424719.1_150	80.499	1323	252	6	1	1320	1	1320	0.0	1009	1332	99	1332
lcl|NC_014218.1_cds_WP_013169429.1_170	lcl|NZ_CP070228.1_cds_WP_204424735.1_156	83.333	1860	298	9	1	1857	1	1851	0.0	1707	1857	100	1851
lcl|NC_014218.1_cds_WP_013169445.1_186	lcl|NZ_CP070228.1_cds_WP_204424772.1_182	74.662	813	184	19	1	805	1	799	3.24e-94	340	810	99	807
lcl|NC_014218.1_cds_WP_013169451.1_194	lcl|NZ_CP070228.1_cds_WP_204424781.1_192	89.258	1024	108	2	1	1023	1	1023	0.0	1280	1023	100	1023
lcl|NC_014218.1_cds_WP_013169453.1_196	lcl|NZ_CP070228.1_cds_WP_204424794.1_196	80.613	1305	239	11	4	1301	7	1304	0.0	996	1320	98	1323
lcl|NC_014218.1_cds_WP_013169459.1_202	lcl|NZ_CP070228.1_cds_WP_204424804.1_202	87.786	1834	224	0	1	1834	1	1834	0.0	2146	1851	99	1857
lcl|NC_014218.1_cds_WP_013169464.1_207	lcl|NZ_CP070228.1_cds_WP_204424810.1_209	82.667	225	28	8	1	221	1	218	3.42e-49	189	237	93	234
lcl|NC_014218.1_cds_WP_013169465.1_208	lcl|NZ_CP070228.1_cds_WP_204424812.1_210	81.006	179	34	0	1	179	1	179	2.15e-35	143	192	93	195
lcl|NC_014218.1_cds_WP_013169485.1_228	lcl|NZ_CP070228.1_cds_WP_204424836.1_228	75.321	312	71	6	157	465	154	462	1.53e-35	145	465	66	462
lcl|NC_014218.1_cds_WP_013169486.1_229	lcl|NZ_CP070228.1_cds_WP_204424838.1_229	82.581	2480	432	0	1	2480	1	2480	0.0	2187	2622	95	2577
lcl|NC_014218.1_cds_WP_013169496.1_241	lcl|NZ_CP070228.1_cds_WP_204424841.1_232	79.749	2706	540	8	1	2702	1	2702	0.0	1954	2739	99	2739
lcl|NC_014218.1_cds_WP_013169503.1_248	lcl|NZ_CP070228.1_cds_WP_204424849.1_238	86.310	504	69	0	1	504	1	504	3.02e-157	549	504	100	504
lcl|NC_014218.1_cds_WP_013169507.1_252	lcl|NZ_CP070228.1_cds_WP_239519531.1_242	78.575	1783	347	31	287	2052	287	2051	0.0	1144	2244	79	2247
lcl|NC_014218.1_cds_WP_013169517.1_262	lcl|NZ_CP070228.1_cds_WP_204424872.1_252	82.012	1362	239	5	232	1590	226	1584	0.0	1153	1590	85	1584
lcl|NC_014218.1_cds_WP_013169518.1_263	lcl|NZ_CP070228.1_cds_WP_204424876.1_254	80.330	1515	290	7	1	1511	1	1511	0.0	1140	1524	99	1533
lcl|NC_014218.1_cds_WP_013169535.1_280	lcl|NZ_CP070228.1_cds_WP_204424900.1_268	86.034	179	25	0	1	179	1	179	2.38e-50	193	216	83	216
lcl|NC_014218.1_cds_WP_005504750.1_281	lcl|NZ_CP070228.1_cds_WP_005504750.1_269	96.970	99	3	0	1	99	1	99	5.91e-43	167	99	100	99
lcl|NC_014218.1_cds_WP_013169539.1_285	lcl|NZ_CP070228.1_cds_WP_204424904.1_273	77.480	635	137	6	2	633	2	633	9.65e-105	375	879	72	879
lcl|NC_014218.1_cds_WP_013169550.1_296	lcl|NZ_CP070228.1_cds_WP_204424913.1_283	85.842	558	79	0	1	558	1	558	1.53e-170	593	558	100	558
lcl|NC_014218.1_cds_WP_223804432.1_298	lcl|NZ_CP070228.1_cds_WP_239519576.1_285	83.196	1339	223	2	1	1338	1	1338	0.0	1225	1338	100	1338
lcl|NC_014218.1_cds_WP_049765882.1_306	lcl|NZ_CP070228.1_cds_WP_204425682.1_293	79.082	1831	365	18	1	1822	1	1822	0.0	1243	1872	97	1872
lcl|NC_014218.1_cds_WP_013169561.1_307	lcl|NZ_CP070228.1_cds_WP_204424926.1_294	74.791	1555	348	36	1	1533	1	1533	0.0	660	1533	100	1533
lcl|NC_014218.1_cds_WP_013169562.1_308	lcl|NZ_CP070228.1_cds_WP_204424928.1_295	74.938	1604	386	11	1	1596	1	1596	0.0	721	1602	99	1599
lcl|NC_014218.1_cds_WP_013169563.1_309	lcl|NZ_CP070228.1_cds_WP_239519534.1_296	74.527	793	192	9	1	788	1	788	5.27e-93	337	1017	77	1017
lcl|NC_014218.1_cds_WP_013169593.1_339	lcl|NZ_CP070228.1_cds_WP_204424962.1_324	78.418	1214	246	14	1	1206	1	1206	0.0	776	1242	97	1248
lcl|NC_014218.1_cds_WP_013169604.1_350	lcl|NZ_CP070228.1_cds_WP_204424977.1_337	77.481	1612	339	23	73	1672	73	1672	0.0	944	1674	96	1674
lcl|NC_014218.1_cds_WP_013169615.1_361	lcl|NZ_CP070228.1_cds_WP_091278578.1_347	85.238	210	31	0	1	210	1	210	1.37e-57	217	210	100	210
lcl|NC_014218.1_cds_WP_013169618.1_364	lcl|NZ_CP070228.1_cds_WP_204424989.1_350	81.768	1629	287	10	1	1624	1	1624	0.0	1354	1626	99	1626
lcl|NC_014218.1_cds_WP_013169620.1_366	lcl|NZ_CP070228.1_cds_WP_204424993.1_352	85.089	1462	216	2	1	1461	1	1461	0.0	1491	1461	100	1461
lcl|NC_014218.1_cds_WP_013169632.1_378	lcl|NZ_CP070228.1_cds_WP_204425014.1_363	81.525	1115	204	2	118	1231	121	1234	0.0	917	1233	90	1236
lcl|NC_014218.1_cds_WP_013169636.1_382	lcl|NZ_CP070228.1_cds_WP_204425022.1_367	78.955	2181	453	6	1	2178	1	2178	0.0	1480	2187	99	2184
lcl|NC_014218.1_cds_WP_223804433.1_387	lcl|NZ_CP070228.1_cds_WP_239519578.1_372	84.503	2336	358	4	1	2334	1	2334	0.0	2305	2334	100	2334
lcl|NC_014218.1_cds_WP_013169644.1_390	lcl|NZ_CP070228.1_cds_WP_204425048.1_393	73.684	304	68	12	234	531	372	669	3.48e-24	108	789	38	936
lcl|NC_014218.1_cds_WP_013169649.1_395	lcl|NZ_CP070228.1_cds_WP_204425053.1_398	74.008	504	117	13	32	528	32	528	6.42e-50	193	549	91	549
lcl|NC_014218.1_cds_WP_013169673.1_420	lcl|NZ_CP070228.1_cds_WP_204425086.1_425	79.933	1490	295	4	1	1488	1	1488	0.0	1092	1494	99	1494
lcl|NC_014218.1_cds_WP_013169674.1_421	lcl|NZ_CP070228.1_cds_WP_204425087.1_426	74.488	1368	335	12	1	1361	1	1361	3.06e-166	580	1401	97	1401
lcl|NC_014218.1_cds_WP_013169681.1_430	lcl|NZ_CP070228.1_cds_432	86.842	2090	269	6	2	2088	1	2087	0.0	2331	2088	99	2379
lcl|NC_014218.1_cds_WP_111724973.1_431	lcl|NZ_CP070228.1_cds_432	94.378	249	14	0	1	249	2131	2379	1.56e-107	383	252	99	2379
lcl|NC_014218.1_cds_WP_013169683.1_432	lcl|NZ_CP070228.1_cds_WP_204425097.1_433	81.378	929	169	4	1	927	1	927	0.0	754	927	100	927
lcl|NC_014218.1_cds_WP_013169685.1_434	lcl|NZ_CP070228.1_cds_WP_204425103.1_437	76.508	2537	576	20	100	2626	100	2626	0.0	1365	2673	95	2673
lcl|NC_014218.1_cds_WP_013169703.1_452	lcl|NZ_CP070228.1_cds_WP_204425129.1_447	82.814	1670	283	4	1	1668	1	1668	0.0	1491	1683	99	1683
lcl|NC_014218.1_cds_WP_013169723.1_475	lcl|NZ_CP070228.1_cds_WP_204425705.1_460	79.677	930	179	9	1	925	4	928	0.0	662	927	99	930
lcl|NC_014218.1_cds_WP_013169725.1_477	lcl|NZ_CP070228.1_cds_WP_013169725.1_462	95.706	163	7	0	1	163	1	163	1.34e-71	263	165	99	165
lcl|NC_014218.1_cds_WP_013169780.1_536	lcl|NZ_CP070228.1_cds_WP_204425213.1_516	81.386	1558	260	17	1	1535	1	1551	0.0	1243	1539	99	1551
lcl|NC_014218.1_cds_WP_013169781.1_537	lcl|NZ_CP070228.1_cds_WP_239519548.1_518	85.714	665	91	3	55	717	10	672	0.0	699	717	92	672
lcl|NC_014218.1_cds_WP_013169789.1_545	lcl|NZ_CP070228.1_cds_WP_204425218.1_522	81.365	2608	467	15	1	2600	1	2597	0.0	2106	2673	97	2673
lcl|NC_014218.1_cds_WP_013169792.1_550	lcl|NZ_CP070228.1_cds_WP_204425223.1_527	80.340	3179	613	11	8	3180	14	3186	0.0	2398	3180	99	3186
lcl|NC_014218.1_cds_WP_013169799.1_557	lcl|NZ_CP070228.1_cds_WP_204425229.1_534	79.270	1452	293	7	1	1448	1	1448	0.0	1007	1542	94	1554
lcl|NC_014218.1_cds_WP_049765809.1_558	lcl|NZ_CP070228.1_cds_WP_204425230.1_535	72.543	1038	257	24	7	1030	49	1072	9.02e-86	313	1032	99	1074
lcl|NC_014218.1_cds_WP_013169801.1_559	lcl|NZ_CP070228.1_cds_WP_204425231.1_536	93.590	390	25	0	1	390	1	390	2.29e-167	582	390	100	390
lcl|NC_014218.1_cds_WP_261974472.1_562	lcl|NZ_CP070228.1_cds_WP_204425233.1_538	88.049	410	49	0	13	422	1	410	2.11e-138	486	444	92	465
lcl|NC_014218.1_cds_WP_013169806.1_563	lcl|NZ_CP070228.1_cds_WP_204425234.1_539	93.671	237	15	0	1	237	1	237	3.18e-99	355	237	100	237
lcl|NC_014218.1_cds_WP_013169809.1_566	lcl|NZ_CP070228.1_cds_WP_239519580.1_542	85.207	338	50	0	1	338	4	341	8.19e-97	348	354	95	348
lcl|NC_014218.1_cds_WP_013169820.1_577	lcl|NZ_CP070228.1_cds_WP_204425249.1_551	88.789	776	85	2	1	775	1	775	0.0	950	816	95	825
lcl|NC_014218.1_cds_WP_013169821.1_578	lcl|NZ_CP070228.1_cds_WP_204425250.1_552	86.806	864	114	0	1	864	1	864	0.0	965	867	99	873
lcl|NC_014218.1_cds_WP_013169822.1_579	lcl|NZ_CP070228.1_cds_WP_204425251.1_553	74.457	736	172	13	1	728	1	728	3.99e-83	303	762	96	777
lcl|NC_014218.1_cds_WP_013169834.1_595	lcl|NZ_CP070228.1_cds_WP_204425257.1_560	79.466	711	142	4	20	728	20	728	1.28e-142	501	741	96	741
lcl|NC_014218.1_cds_WP_013169836.1_597	lcl|NZ_CP070228.1_cds_WP_204425261.1_562	72.991	896	222	17	9	894	9	894	7.86e-81	296	894	99	894
lcl|NC_014218.1_cds_WP_013169842.1_603	lcl|NZ_CP070228.1_cds_WP_204425273.1_568	82.000	100	18	0	737	836	737	836	1.76e-17	86.1	852	12	849
lcl|NC_014218.1_cds_WP_013169843.1_604	lcl|NZ_CP070228.1_cds_WP_204425274.1_569	79.203	1731	340	14	1	1721	1	1721	0.0	1184	1788	96	1788
lcl|NC_014218.1_cds_WP_013169848.1_609	lcl|NZ_CP070228.1_cds_WP_204425278.1_574	84.082	2136	321	11	784	2914	778	2899	0.0	2043	2916	80	2901
lcl|NC_014218.1_cds_WP_013169848.1_609	lcl|NZ_CP070228.1_cds_WP_204425278.1_574	87.619	210	23	2	1	207	1	210	1.24e-63	241	2916	80	2901
lcl|NC_014218.1_cds_WP_013169849.1_610	lcl|NZ_CP070228.1_cds_WP_204425279.1_575	80.247	405	78	2	1	404	1	404	2.52e-83	303	489	83	456
lcl|NC_014218.1_cds_WP_013169865.1_629	lcl|NZ_CP070228.1_cds_WP_204425302.1_588	92.222	270	21	0	1	270	1	270	1.68e-107	383	270	100	270
lcl|NC_014218.1_cds_WP_041640339.1_630	lcl|NZ_CP070228.1_cds_WP_204425304.1_589	85.311	2301	326	9	1	2295	1	2295	0.0	2366	2382	96	2364
lcl|NC_014218.1_cds_WP_013169870.1_636	lcl|NZ_CP070228.1_cds_WP_204425314.1_594	82.973	1110	189	0	1	1110	1	1110	0.0	1003	1125	99	1125
lcl|NC_014218.1_cds_WP_013169871.1_637	lcl|NZ_CP070228.1_cds_WP_204425316.1_595	81.232	1769	327	5	1	1767	1	1766	0.0	1423	1791	99	1791
lcl|NC_014218.1_cds_WP_013169873.1_639	lcl|NZ_CP070228.1_cds_WP_204425330.1_606	85.253	434	56	8	242	671	239	668	2.62e-124	440	687	63	678
lcl|NC_014218.1_cds_WP_258399713.1_643	lcl|NZ_CP070228.1_cds_WP_204425337.1_610	74.692	569	128	12	1	561	1	561	8.96e-64	239	603	93	585
