query_id	subject_id	pct_identity	aln_length	n_of_mismatches	number_gap_openings	q_start	q_end	s_start	s_end	e_value	bit_score	query_length	query_coverage	subject_length
lcl|NC_014218.1_cds_WP_013169271.1_5	lcl|NZ_LFUS01000025.1_cds_WP_049619754.1_955	76.601	1218	271	14	835	2045	772	1982	0.0	658	2049	59	1986
lcl|NC_014218.1_cds_WP_013169429.1_170	lcl|NZ_LFUS01000031.1_cds_WP_049620026.1_1289	75.873	1546	353	19	1	1536	1	1536	0.0	771	1857	83	1872
lcl|NC_014218.1_cds_WP_013169608.1_354	lcl|NZ_LFUS01000030.1_cds_WP_049620002.1_1268	78.261	207	39	6	1	204	1	204	7.56e-31	128	213	96	213
lcl|NC_014218.1_cds_WP_013169620.1_366	lcl|NZ_LFUS01000049.1_cds_WP_049620478.1_1746	78.475	1259	261	10	175	1428	190	1443	0.0	815	1461	86	1470
lcl|NC_014218.1_cds_WP_223804433.1_387	lcl|NZ_LFUS01000025.1_cds_WP_156181444.1_1006	74.511	1177	275	24	148	1310	178	1343	3.60e-138	488	2334	50	2367
lcl|NC_014218.1_cds_WP_013169681.1_430	lcl|NZ_LFUS01000007.1_cds_WP_049618875.1_1827	77.528	1958	392	43	71	2001	80	2016	0.0	1134	2088	92	2109
lcl|NC_014218.1_cds_WP_013169732.1_484	lcl|NZ_LFUS01000005.1_cds_WP_049618844.1_1758	73.645	1992	480	38	152	2122	152	2119	0.0	728	2358	84	2403
lcl|NC_014218.1_cds_WP_041640319.1_519	lcl|NZ_LFUS01000017.1_cds_WP_049619227.1_371	78.296	1479	291	27	79	1542	70	1533	0.0	926	1605	91	1596
lcl|NC_014218.1_cds_WP_013169798.1_556	lcl|NZ_LFUS01000002.1_cds_WP_049618770.1_692	75.548	593	131	14	598	1183	568	1153	1.19e-75	279	1188	49	1170
lcl|NC_014218.1_cds_WP_013170064.1_834	lcl|NZ_LFUS01000015.1_cds_WP_049619183.1_332	74.303	969	232	15	1	962	1	959	9.24e-110	394	2673	36	2682
lcl|NC_014218.1_cds_WP_013170115.1_886	lcl|NZ_LFUS01000041.1_cds_WP_049620367.1_1638	80.198	1212	234	4	23	1231	35	1243	0.0	904	1470	82	1494
lcl|NC_014218.1_cds_WP_013170142.1_915	lcl|NZ_LFUS01000041.1_cds_WP_049620344.1_1608	75.888	676	155	8	160	831	145	816	1.72e-93	339	1059	63	1068
lcl|NC_014218.1_cds_WP_013170204.1_980	lcl|NZ_LFUS01000020.1_cds_WP_231583093.1_761	72.080	1755	454	34	60	1796	27	1763	6.15e-140	494	1860	93	1821
lcl|NC_014218.1_cds_WP_013170255.1_1033	lcl|NZ_LFUS01000018.1_cds_WP_049619339.1_507	81.597	576	100	5	1	573	1	573	8.66e-134	472	573	100	573
lcl|NC_014218.1_cds_WP_013170418.1_1200	lcl|NZ_LFUS01000030.1_cds_WP_049620014.1_1269	82.443	131	23	0	733	863	664	794	3.38e-26	115	1131	12	1074
lcl|NC_014218.1_cds_WP_013170541.1_1324	lcl|NZ_LFUS01000001.1_cds_WP_049618673.1_17	75.810	864	197	10	73	930	73	930	3.38e-120	427	1005	85	990
lcl|NC_014218.1_cds_WP_013170568.1_1351	lcl|NZ_LFUS01000001.1_cds_WP_074661381.1_31	82.209	163	28	1	24	186	25	186	3.00e-34	139	186	88	186
lcl|NC_014218.1_cds_WP_013170571.1_1354	lcl|NZ_LFUS01000001.1_cds_WP_049618688.1_34	82.466	365	64	0	1	365	1	365	2.10e-88	320	369	99	369
lcl|NC_014218.1_cds_WP_013170578.1_1361	lcl|NZ_LFUS01000001.1_cds_WP_049618695.1_41	78.256	837	172	7	1	832	1	832	7.49e-151	529	837	99	837
lcl|NC_014218.1_cds_WP_013170583.1_1366	lcl|NZ_LFUS01000001.1_cds_WP_049618700.1_46	82.898	1187	193	9	1	1182	1	1182	0.0	1059	1191	99	1191
lcl|NC_014218.1_cds_WP_013170584.1_1367	lcl|NZ_LFUS01000001.1_cds_WP_049618716.1_47	74.700	1166	279	14	940	2097	895	2052	3.24e-143	505	2121	55	2076
lcl|NC_014218.1_cds_WP_013170589.1_1372	lcl|NZ_LFUS01000001.1_cds_WP_049618704.1_51	76.150	2348	526	29	1030	3360	1051	3381	0.0	1203	3465	67	3495
lcl|NC_014218.1_cds_WP_013170726.1_1516	lcl|NZ_LFUS01000017.1_cds_WP_049619217.1_362	80.594	572	111	0	1	572	1	572	6.98e-125	442	588	97	603
lcl|NC_014218.1_cds_WP_013170729.1_1519	lcl|NZ_LFUS01000017.1_cds_WP_049619221.1_366	83.642	324	51	2	1	323	1	323	1.88e-83	303	330	98	333
lcl|NC_014218.1_cds_WP_013170730.1_1520	lcl|NZ_LFUS01000017.1_cds_WP_049619222.1_367	88.182	330	39	0	1	330	1	330	1.08e-110	394	330	100	330
lcl|NC_014218.1_cds_WP_013170733.1_1523	lcl|NZ_LFUS01000017.1_cds_WP_049619225.1_370	81.363	1159	197	16	76	1226	73	1220	0.0	926	1311	88	1332
lcl|NC_014218.1_cds_WP_013170738.1_1528	lcl|NZ_LFUS01000017.1_cds_WP_049619227.1_371	81.322	1467	268	6	73	1536	70	1533	0.0	1186	1599	92	1596
lcl|NC_014218.1_cds_WP_013170769.1_1566	lcl|NZ_LFUS01000034.1_cds_WP_049620199.1_1460	72.840	1690	417	35	7	1675	10	1678	7.56e-154	540	1806	92	1818
